,Country Name,Country Code,Indicator Name,Year,Percentage
64,Guinea-Bissau,GNB,% of rural population using drinking water services,2000,43.4
65,Guinea-Bissau,GNB,% of urban population using drinking water services,2000,78.2
66,Kenya,KEN,% of total population using drinking water services,2000,47.3
67,Kenya,KEN,% of rural population using drinking water services,2000,37.4
68,Kenya,KEN,% of urban population using drinking water services,2000,86.9
69,Lesotho,LSO,% of total population using drinking water services,2000,66.2
70,Lesotho,LSO,% of rural population using drinking water services,2000,62.7
71,Lesotho,LSO,% of urban population using drinking water services,2000,80.8
72,Liberia,LBR,% of total population using drinking water services,2000,61.7
73,Liberia,LBR,% of rural population using drinking water services,2000,49.1
74,Liberia,LBR,% of urban population using drinking water services,2000,77.4
75,Libya,LBY,% of total population using drinking water services,2000,84.2
76,Madagascar,MDG,% of total population using drinking water services,2000,36.3
77,Madagascar,MDG,% of rural population using drinking water services,2000,23.7
78,Madagascar,MDG,% of urban population using drinking water services,2000,70.2
79,Malawi,MWI,% of total population using drinking water services,2000,53.8
80,Malawi,MWI,% of rural population using drinking water services,2000,48.4
81,Malawi,MWI,% of urban population using drinking water services,2000,85.5
82,Mali,MLI,% of total population using drinking water services,2000,49.5
83,Mali,MLI,% of rural population using drinking water services,2000,39.0
84,Mali,MLI,% of urban population using drinking water services,2000,75.9
85,Mauritania,MRT,% of total population using drinking water services,2000,41.0
86,Mauritania,MRT,% of rural population using drinking water services,2000,25.0
87,Mauritania,MRT,% of urban population using drinking water services,2000,67.0
88,Mauritius,MUS,% of total population using drinking water services,2000,99.3
89,Mauritius,MUS,% of rural population using drinking water services,2000,98.9
90,Mauritius,MUS,% of urban population using drinking water services,2000,99.8
91,Morocco,MAR,% of total population using drinking water services,2000,62.5
92,Morocco,MAR,% of rural population using drinking water services,2000,28.8
93,Morocco,MAR,% of urban population using drinking water services,2000,91.9
94,Mozambique,MOZ,% of total population using drinking water services,2000,21.1
95,Mozambique,MOZ,% of rural population using drinking water services,2000,5.3
96,Mozambique,MOZ,% of urban population using drinking water services,2000,59.5
97,Namibia,NAM,% of total population using drinking water services,2000,76.4
98,Namibia,NAM,% of rural population using drinking water services,2000,66.0
99,Namibia,NAM,% of urban population using drinking water services,2000,98.0
100,Niger,NER,% of total population using drinking water services,2000,36.8
101,Niger,NER,% of rural population using drinking water services,2000,26.1
102,Niger,NER,% of urban population using drinking water services,2000,92.6
103,Nigeria,NGA,% of total population using drinking water services,2000,43.2
104,Nigeria,NGA,% of rural population using drinking water services,2000,30.4
105,Nigeria,NGA,% of urban population using drinking water services,2000,66.9
106,Rwanda,RWA,% of total population using drinking water services,2000,45.1
107,Rwanda,RWA,% of rural population using drinking water services,2000,40.6
108,Rwanda,RWA,% of urban population using drinking water services,2000,70.9
109,Sao Tome and Principe,STP,% of total population using drinking water services,2000,68.1
110,Sao Tome and Principe,STP,% of rural population using drinking water services,2000,61.1
111,Sao Tome and Principe,STP,% of urban population using drinking water services,2000,74.2
112,Senegal,SEN,% of total population using drinking water services,2000,59.6
113,Senegal,SEN,% of rural population using drinking water services,2000,40.2
114,Senegal,SEN,% of urban population using drinking water services,2000,88.3
115,Sierra Leone,SLE,% of total population using drinking water services,2000,40.6
116,Sierra Leone,SLE,% of rural population using drinking water services,2000,25.8
117,Sierra Leone,SLE,% of urban population using drinking water services,2000,67.3
118,Somalia,SOM,% of total population using drinking water services,2000,23.7
119,Somalia,SOM,% of rural population using drinking water services,2000,5.7
120,Somalia,SOM,% of urban population using drinking water services,2000,59.8
121,South Africa,ZAF,% of total population using drinking water services,2000,84.5
122,South Africa,ZAF,% of rural population using drinking water services,2000,66.1
123,South Africa,ZAF,% of urban population using drinking water services,2000,98.4
124,Sudan,SDN,% of total population using drinking water services,2000,43.4
125,Sudan,SDN,% of rural population using drinking water services,2000,35.3
126,Sudan,SDN,% of urban population using drinking water services,2000,60.3
127,Tanzania,TZA,% of total population using drinking water services,2000,27.7
128,Tanzania,TZA,% of rural population using drinking water services,2000,16.9
129,Tanzania,TZA,% of urban population using drinking water services,2000,65.2
130,Togo,TGO,% of total population using drinking water services,2000,45.3
131,Togo,TGO,% of rural population using drinking water services,2000,28.8
132,Togo,TGO,% of urban population using drinking water services,2000,78.9
133,Tunisia,TUN,% of total population using drinking water services,2000,88.5
134,Tunisia,TUN,% of rural population using drinking water services,2000,71.7
135,Tunisia,TUN,% of urban population using drinking water services,2000,98.2
136,Uganda,UGA,% of total population using drinking water services,2000,26.5
137,Uganda,UGA,% of rural population using drinking water services,2000,19.0
138,Uganda,UGA,% of urban population using drinking water services,2000,69.9
139,Zambia,ZMB,% of total population using drinking water services,2000,48.2
140,Zambia,ZMB,% of rural population using drinking water services,2000,29.4
141,Zambia,ZMB,% of urban population using drinking water services,2000,83.4
142,Zimbabwe,ZWE,% of total population using drinking water services,2000,71.9
143,Zimbabwe,ZWE,% of rural population using drinking water services,2000,59.9
144,Zimbabwe,ZWE,% of urban population using drinking water services,2000,95.4
145,Algeria,DZA,% of total population using drinking water services,2001,90.1
146,Algeria,DZA,% of rural population using drinking water services,2001,83.7
147,Algeria,DZA,% of urban population using drinking water services,2001,94.2
148,Angola,AGO,% of total population using drinking water services,2001,42.3
149,Angola,AGO,% of rural population using drinking water services,2001,21.5
150,Angola,AGO,% of urban population using drinking water services,2001,62.0
151,Benin,BEN,% of total population using drinking water services,2001,62.4
152,Benin,BEN,% of rural population using drinking water services,2001,53.0
153,Benin,BEN,% of urban population using drinking water services,2001,77.2
154,Botswana,BWA,% of total population using drinking water services,2001,75.5
155,Botswana,BWA,% of rural population using drinking water services,2001,53.7
156,Botswana,BWA,% of urban population using drinking water services,2001,94.1
157,Burkina Faso,BFA,% of total population using drinking water services,2001,58.2
158,Burkina Faso,BFA,% of rural population using drinking water services,2001,53.5
159,Burkina Faso,BFA,% of urban population using drinking water services,2001,79.1
160,Burundi,BDI,% of total population using drinking water services,2001,51.2
161,Burundi,BDI,% of rural population using drinking water services,2001,48.3
162,Burundi,BDI,% of urban population using drinking water services,2001,82.5
163,Cabo Verde,CPV,% of total population using drinking water services,2001,79.3
164,Cabo Verde,CPV,% of rural population using drinking water services,2001,70.2
165,Cabo Verde,CPV,% of urban population using drinking water services,2001,86.9
166,Cameroon,CMR,% of total population using drinking water services,2001,58.1
167,Cameroon,CMR,% of rural population using drinking water services,2001,37.2
168,Cameroon,CMR,% of urban population using drinking water services,2001,82.5
169,Central African Republic,CAF,% of total population using drinking water services,2001,57.8
170,Central African Republic,CAF,% of rural population using drinking water services,2001,43.5
171,Central African Republic,CAF,% of urban population using drinking water services,2001,81.4
172,Chad,TCD,% of total population using drinking water services,2001,39.9
173,Chad,TCD,% of rural population using drinking water services,2001,30.1
174,Chad,TCD,% of urban population using drinking water services,2001,75.1
175,"Congo, Dem. Rep.",COD,% of total population using drinking water services,2001,34.3
176,"Congo, Dem. Rep.",COD,% of rural population using drinking water services,2001,16.6
177,"Congo, Dem. Rep.",COD,% of urban population using drinking water services,2001,66.3
178,"Congo, Rep.",COG,% of total population using drinking water services,2001,57.5
179,"Congo, Rep.",COG,% of rural population using drinking water services,2001,18.0
180,"Congo, Rep.",COG,% of urban population using drinking water services,2001,84.7
181,Cote d'Ivoire,CIV,% of total population using drinking water services,2001,71.4
182,Cote d'Ivoire,CIV,% of rural population using drinking water services,2001,56.2
183,Cote d'Ivoire,CIV,% of urban population using drinking water services,2001,91.1
184,Djibouti,DJI,% of total population using drinking water services,2001,75.5
185,Djibouti,DJI,% of rural population using drinking water services,2001,53.9
186,Djibouti,DJI,% of urban population using drinking water services,2001,82.0
187,"Egypt, Arab Rep.",EGY,% of total population using drinking water services,2001,98.0
188,"Egypt, Arab Rep.",EGY,% of rural population using drinking water services,2001,97.0
189,"Egypt, Arab Rep.",EGY,% of urban population using drinking water services,2001,99.3
190,Eswatini,SWZ,% of total population using drinking water services,2001,54.1
191,Eswatini,SWZ,% of rural population using drinking water services,2001,44.3
192,Eswatini,SWZ,% of urban population using drinking water services,2001,87.8
193,Ethiopia,ETH,% of total population using drinking water services,2001,19.7
194,Ethiopia,ETH,% of rural population using drinking water services,2001,9.9
195,Ethiopia,ETH,% of urban population using drinking water services,2001,75.7
196,Gabon,GAB,% of total population using drinking water services,2001,81.1
197,Gabon,GAB,% of rural population using drinking water services,2001,42.9
198,Gabon,GAB,% of urban population using drinking water services,2001,90.9
199,"Gambia, The",GMB,% of total population using drinking water services,2001,74.2
200,"Gambia, The",GMB,% of rural population using drinking water services,2001,65.4
201,"Gambia, The",GMB,% of urban population using drinking water services,2001,83.4
202,Ghana,GHA,% of total population using drinking water services,2001,64.7
203,Ghana,GHA,% of rural population using drinking water services,2001,54.1
204,Ghana,GHA,% of urban population using drinking water services,2001,77.9
205,Guinea,GIN,% of total population using drinking water services,2001,54.2
206,Guinea,GIN,% of rural population using drinking water services,2001,43.2
207,Guinea,GIN,% of urban population using drinking water services,2001,78.4
208,Guinea-Bissau,GNB,% of total population using drinking water services,2001,56.3
209,Guinea-Bissau,GNB,% of rural population using drinking water services,2001,43.7
210,Guinea-Bissau,GNB,% of urban population using drinking water services,2001,77.9
211,Kenya,KEN,% of total population using drinking water services,2001,48.0
212,Kenya,KEN,% of rural population using drinking water services,2001,38.2
213,Kenya,KEN,% of urban population using drinking water services,2001,86.9
214,Lesotho,LSO,% of total population using drinking water services,2001,66.5
215,Lesotho,LSO,% of rural population using drinking water services,2001,62.7
216,Lesotho,LSO,% of urban population using drinking water services,2001,81.4
217,Liberia,LBR,% of total population using drinking water services,2001,62.6
218,Liberia,LBR,% of rural population using drinking water services,2001,50.2
219,Liberia,LBR,% of urban population using drinking water services,2001,78.0
220,Libya,LBY,% of total population using drinking water services,2001,85.1
221,Madagascar,MDG,% of total population using drinking water services,2001,37.0
222,Madagascar,MDG,% of rural population using drinking water services,2001,24.3
223,Madagascar,MDG,% of urban population using drinking water services,2001,70.7
224,Malawi,MWI,% of total population using drinking water services,2001,54.7
225,Malawi,MWI,% of rural population using drinking water services,2001,49.3
226,Malawi,MWI,% of urban population using drinking water services,2001,85.6
227,Mali,MLI,% of total population using drinking water services,2001,51.0
228,Mali,MLI,% of rural population using drinking water services,2001,40.4
229,Mali,MLI,% of urban population using drinking water services,2001,76.9
230,Mauritania,MRT,% of total population using drinking water services,2001,42.0
231,Mauritania,MRT,% of rural population using drinking water services,2001,26.2
232,Mauritania,MRT,% of urban population using drinking water services,2001,67.2
233,Mauritius,MUS,% of total population using drinking water services,2001,99.3
234,Mauritius,MUS,% of rural population using drinking water services,2001,99.0
235,Mauritius,MUS,% of urban population using drinking water services,2001,99.8
236,Morocco,MAR,% of total population using drinking water services,2001,63.7
237,Morocco,MAR,% of rural population using drinking water services,2001,30.8
238,Morocco,MAR,% of urban population using drinking water services,2001,92.1
239,Mozambique,MOZ,% of total population using drinking water services,2001,22.3
240,Mozambique,MOZ,% of rural population using drinking water services,2001,6.9
241,Mozambique,MOZ,% of urban population using drinking water services,2001,59.5
242,Namibia,NAM,% of total population using drinking water services,2001,76.7
243,Namibia,NAM,% of rural population using drinking water services,2001,66.3
244,Namibia,NAM,% of urban population using drinking water services,2001,97.9
245,Niger,NER,% of total population using drinking water services,2001,37.7
246,Niger,NER,% of rural population using drinking water services,2001,27.1
247,Niger,NER,% of urban population using drinking water services,2001,92.3
248,Nigeria,NGA,% of total population using drinking water services,2001,44.6
249,Nigeria,NGA,% of rural population using drinking water services,2001,31.8
250,Nigeria,NGA,% of urban population using drinking water services,2001,67.5
251,Rwanda,RWA,% of total population using drinking water services,2001,46.2
252,Rwanda,RWA,% of rural population using drinking water services,2001,41.4
253,Rwanda,RWA,% of urban population using drinking water services,2001,71.6
254,Sao Tome and Principe,STP,% of total population using drinking water services,2001,68.7
255,Sao Tome and Principe,STP,% of rural population using drinking water services,2001,61.8
256,Sao Tome and Principe,STP,% of urban population using drinking water services,2001,74.5
257,Senegal,SEN,% of total population using drinking water services,2001,60.8
258,Senegal,SEN,% of rural population using drinking water services,2001,41.9
259,Senegal,SEN,% of urban population using drinking water services,2001,88.7
260,Sierra Leone,SLE,% of total population using drinking water services,2001,40.9
261,Sierra Leone,SLE,% of rural population using drinking water services,2001,25.8
262,Sierra Leone,SLE,% of urban population using drinking water services,2001,67.9
263,Somalia,SOM,% of total population using drinking water services,2001,25.2
264,Somalia,SOM,% of rural population using drinking water services,2001,7.3
265,Somalia,SOM,% of urban population using drinking water services,2001,60.7
266,South Africa,ZAF,% of total population using drinking water services,2001,85.0
267,South Africa,ZAF,% of rural population using drinking water services,2001,67.0
268,South Africa,ZAF,% of urban population using drinking water services,2001,98.4
269,Sudan,SDN,% of total population using drinking water services,2001,43.4
270,Sudan,SDN,% of rural population using drinking water services,2001,35.3
271,Sudan,SDN,% of urban population using drinking water services,2001,60.3
272,Tanzania,TZA,% of total population using drinking water services,2001,29.1
273,Tanzania,TZA,% of rural population using drinking water services,2001,18.2
274,Tanzania,TZA,% of urban population using drinking water services,2001,66.2
275,Togo,TGO,% of total population using drinking water services,2001,46.6
276,Togo,TGO,% of rural population using drinking water services,2001,30.1
277,Togo,TGO,% of urban population using drinking water services,2001,79.5
278,Tunisia,TUN,% of total population using drinking water services,2001,89.0
279,Tunisia,TUN,% of rural population using drinking water services,2001,72.4
280,Tunisia,TUN,% of urban population using drinking water services,2001,98.3
281,Uganda,UGA,% of total population using drinking water services,2001,27.8
282,Uganda,UGA,% of rural population using drinking water services,2001,20.1
283,Uganda,UGA,% of urban population using drinking water services,2001,70.4
284,Zambia,ZMB,% of total population using drinking water services,2001,49.0
285,Zambia,ZMB,% of rural population using drinking water services,2001,30.4
286,Zambia,ZMB,% of urban population using drinking water services,2001,83.6
287,Zimbabwe,ZWE,% of total population using drinking water services,2001,72.0
288,Zimbabwe,ZWE,% of rural population using drinking water services,2001,59.9
289,Zimbabwe,ZWE,% of urban population using drinking water services,2001,95.4
290,Algeria,DZA,% of total population using drinking water services,2002,90.4
291,Algeria,DZA,% of rural population using drinking water services,2002,84.1
292,Algeria,DZA,% of urban population using drinking water services,2002,94.3
293,Angola,AGO,% of total population using drinking water services,2002,43.4
294,Angola,AGO,% of rural population using drinking water services,2002,21.9
295,Angola,AGO,% of urban population using drinking water services,2002,62.8
296,Benin,BEN,% of total population using drinking water services,2002,62.6
297,Benin,BEN,% of rural population using drinking water services,2002,53.3
298,Benin,BEN,% of urban population using drinking water services,2002,77.0
299,Botswana,BWA,% of total population using drinking water services,2002,75.8
300,Botswana,BWA,% of rural population using drinking water services,2002,53.8
301,Botswana,BWA,% of urban population using drinking water services,2002,94.0
302,Burkina Faso,BFA,% of total population using drinking water services,2002,57.7
303,Burkina Faso,BFA,% of rural population using drinking water services,2002,52.6
304,Burkina Faso,BFA,% of urban population using drinking water services,2002,79.1
305,Burundi,BDI,% of total population using drinking water services,2002,51.8
306,Burundi,BDI,% of rural population using drinking water services,2002,48.8
307,Burundi,BDI,% of urban population using drinking water services,2002,83.0
308,Cabo Verde,CPV,% of total population using drinking water services,2002,79.5
309,Cabo Verde,CPV,% of rural population using drinking water services,2002,70.4
310,Cabo Verde,CPV,% of urban population using drinking water services,2002,86.9
311,Cameroon,CMR,% of total population using drinking water services,2002,58.6
312,Cameroon,CMR,% of rural population using drinking water services,2002,37.6
313,Cameroon,CMR,% of urban population using drinking water services,2002,82.5
314,Central African Republic,CAF,% of total population using drinking water services,2002,56.7
315,Central African Republic,CAF,% of rural population using drinking water services,2002,42.6
316,Central African Republic,CAF,% of urban population using drinking water services,2002,79.7
317,Chad,TCD,% of total population using drinking water services,2002,40.2
318,Chad,TCD,% of rural population using drinking water services,2002,30.5
319,Chad,TCD,% of urban population using drinking water services,2002,75.1
320,"Congo, Dem. Rep.",COD,% of total population using drinking water services,2002,34.9
321,"Congo, Dem. Rep.",COD,% of rural population using drinking water services,2002,16.9
322,"Congo, Dem. Rep.",COD,% of urban population using drinking water services,2002,66.7
323,"Congo, Rep.",COG,% of total population using drinking water services,2002,58.0
324,"Congo, Rep.",COG,% of rural population using drinking water services,2002,18.2
325,"Congo, Rep.",COG,% of urban population using drinking water services,2002,84.9
326,Cote d'Ivoire,CIV,% of total population using drinking water services,2002,71.4
327,Cote d'Ivoire,CIV,% of rural population using drinking water services,2002,56.2
328,Cote d'Ivoire,CIV,% of urban population using drinking water services,2002,90.8
329,Djibouti,DJI,% of total population using drinking water services,2002,75.5
330,Djibouti,DJI,% of rural population using drinking water services,2002,53.6
331,Djibouti,DJI,% of urban population using drinking water services,2002,82.2
332,"Egypt, Arab Rep.",EGY,% of total population using drinking water services,2002,98.1
333,"Egypt, Arab Rep.",EGY,% of rural population using drinking water services,2002,97.1
334,"Egypt, Arab Rep.",EGY,% of urban population using drinking water services,2002,99.3
335,Eswatini,SWZ,% of total population using drinking water services,2002,55.0
336,Eswatini,SWZ,% of rural population using drinking water services,2002,45.4
337,Eswatini,SWZ,% of urban population using drinking water services,2002,88.3
338,Ethiopia,ETH,% of total population using drinking water services,2002,21.3
339,Ethiopia,ETH,% of rural population using drinking water services,2002,11.6
340,Ethiopia,ETH,% of urban population using drinking water services,2002,76.1
341,Gabon,GAB,% of total population using drinking water services,2002,81.4
342,Gabon,GAB,% of rural population using drinking water services,2002,43.0
343,Gabon,GAB,% of urban population using drinking water services,2002,90.8
344,"Gambia, The",GMB,% of total population using drinking water services,2002,74.6
345,"Gambia, The",GMB,% of rural population using drinking water services,2002,65.7
346,"Gambia, The",GMB,% of urban population using drinking water services,2002,83.6
347,Ghana,GHA,% of total population using drinking water services,2002,65.8
348,Ghana,GHA,% of rural population using drinking water services,2002,55.0
349,Ghana,GHA,% of urban population using drinking water services,2002,78.8
350,Guinea,GIN,% of total population using drinking water services,2002,55.1
351,Guinea,GIN,% of rural population using drinking water services,2002,44.2
352,Guinea,GIN,% of urban population using drinking water services,2002,79.0
353,Guinea-Bissau,GNB,% of total population using drinking water services,2002,56.5
354,Guinea-Bissau,GNB,% of rural population using drinking water services,2002,44.1
355,Guinea-Bissau,GNB,% of urban population using drinking water services,2002,77.7
356,Kenya,KEN,% of total population using drinking water services,2002,48.8
357,Kenya,KEN,% of rural population using drinking water services,2002,38.9
358,Kenya,KEN,% of urban population using drinking water services,2002,86.9
359,Lesotho,LSO,% of total population using drinking water services,2002,66.7
360,Lesotho,LSO,% of rural population using drinking water services,2002,62.8
361,Lesotho,LSO,% of urban population using drinking water services,2002,82.0
362,Liberia,LBR,% of total population using drinking water services,2002,63.5
363,Liberia,LBR,% of rural population using drinking water services,2002,51.2
364,Liberia,LBR,% of urban population using drinking water services,2002,78.6
365,Libya,LBY,% of total population using drinking water services,2002,86.0
366,Madagascar,MDG,% of total population using drinking water services,2002,37.7
367,Madagascar,MDG,% of rural population using drinking water services,2002,24.9
368,Madagascar,MDG,% of urban population using drinking water services,2002,71.2
369,Malawi,MWI,% of total population using drinking water services,2002,55.5
370,Malawi,MWI,% of rural population using drinking water services,2002,50.3
371,Malawi,MWI,% of urban population using drinking water services,2002,85.6
372,Mali,MLI,% of total population using drinking water services,2002,52.7
373,Mali,MLI,% of rural population using drinking water services,2002,42.0
374,Mali,MLI,% of urban population using drinking water services,2002,77.9
375,Mauritania,MRT,% of total population using drinking water services,2002,43.7
376,Mauritania,MRT,% of rural population using drinking water services,2002,27.5
377,Mauritania,MRT,% of urban population using drinking water services,2002,68.5
378,Mauritius,MUS,% of total population using drinking water services,2002,99.4
379,Mauritius,MUS,% of rural population using drinking water services,2002,99.1
380,Mauritius,MUS,% of urban population using drinking water services,2002,99.8
381,Morocco,MAR,% of total population using drinking water services,2002,65.1
382,Morocco,MAR,% of rural population using drinking water services,2002,33.0
383,Morocco,MAR,% of urban population using drinking water services,2002,92.4
384,Mozambique,MOZ,% of total population using drinking water services,2002,24.1
385,Mozambique,MOZ,% of rural population using drinking water services,2002,8.6
386,Mozambique,MOZ,% of urban population using drinking water services,2002,60.9
387,Namibia,NAM,% of total population using drinking water services,2002,77.1
388,Namibia,NAM,% of rural population using drinking water services,2002,66.6
389,Namibia,NAM,% of urban population using drinking water services,2002,97.8
390,Niger,NER,% of total population using drinking water services,2002,38.5
391,Niger,NER,% of rural population using drinking water services,2002,28.1
392,Niger,NER,% of urban population using drinking water services,2002,91.9
393,Nigeria,NGA,% of total population using drinking water services,2002,46.2
394,Nigeria,NGA,% of rural population using drinking water services,2002,33.3
395,Nigeria,NGA,% of urban population using drinking water services,2002,68.7
396,Rwanda,RWA,% of total population using drinking water services,2002,47.2
397,Rwanda,RWA,% of rural population using drinking water services,2002,42.1
398,Rwanda,RWA,% of urban population using drinking water services,2002,72.2
399,Sao Tome and Principe,STP,% of total population using drinking water services,2002,69.4
400,Sao Tome and Principe,STP,% of rural population using drinking water services,2002,62.6
401,Sao Tome and Principe,STP,% of urban population using drinking water services,2002,74.9
402,Senegal,SEN,% of total population using drinking water services,2002,62.0
403,Senegal,SEN,% of rural population using drinking water services,2002,43.5
404,Senegal,SEN,% of urban population using drinking water services,2002,89.0
405,Sierra Leone,SLE,% of total population using drinking water services,2002,42.1
406,Sierra Leone,SLE,% of rural population using drinking water services,2002,27.2
407,Sierra Leone,SLE,% of urban population using drinking water services,2002,68.5
408,Somalia,SOM,% of total population using drinking water services,2002,26.8
409,Somalia,SOM,% of rural population using drinking water services,2002,8.8
410,Somalia,SOM,% of urban population using drinking water services,2002,61.7
411,South Africa,ZAF,% of total population using drinking water services,2002,85.6
412,South Africa,ZAF,% of rural population using drinking water services,2002,67.9
413,South Africa,ZAF,% of urban population using drinking water services,2002,98.4
414,Sudan,SDN,% of total population using drinking water services,2002,43.5
415,Sudan,SDN,% of rural population using drinking water services,2002,35.3
416,Sudan,SDN,% of urban population using drinking water services,2002,60.3
417,Tanzania,TZA,% of total population using drinking water services,2002,30.4
418,Tanzania,TZA,% of rural population using drinking water services,2002,19.4
419,Tanzania,TZA,% of urban population using drinking water services,2002,67.2
420,Togo,TGO,% of total population using drinking water services,2002,47.8
421,Togo,TGO,% of rural population using drinking water services,2002,31.3
422,Togo,TGO,% of urban population using drinking water services,2002,80.1
423,Tunisia,TUN,% of total population using drinking water services,2002,89.4
424,Tunisia,TUN,% of rural population using drinking water services,2002,73.1
425,Tunisia,TUN,% of urban population using drinking water services,2002,98.4
426,Uganda,UGA,% of total population using drinking water services,2002,29.1
427,Uganda,UGA,% of rural population using drinking water services,2002,21.3
428,Uganda,UGA,% of urban population using drinking water services,2002,70.8
429,Zambia,ZMB,% of total population using drinking water services,2002,49.9
430,Zambia,ZMB,% of rural population using drinking water services,2002,31.3
431,Zambia,ZMB,% of urban population using drinking water services,2002,83.8
432,Zimbabwe,ZWE,% of total population using drinking water services,2002,71.7
433,Zimbabwe,ZWE,% of rural population using drinking water services,2002,59.2
434,Zimbabwe,ZWE,% of urban population using drinking water services,2002,95.3
435,Algeria,DZA,% of total population using drinking water services,2003,90.6
436,Algeria,DZA,% of rural population using drinking water services,2003,84.4
437,Algeria,DZA,% of urban population using drinking water services,2003,94.4
438,Angola,AGO,% of total population using drinking water services,2003,44.4
439,Angola,AGO,% of rural population using drinking water services,2003,22.3
440,Angola,AGO,% of urban population using drinking water services,2003,63.4
441,Benin,BEN,% of total population using drinking water services,2003,62.8
442,Benin,BEN,% of rural population using drinking water services,2003,53.6
443,Benin,BEN,% of urban population using drinking water services,2003,76.8
444,Botswana,BWA,% of total population using drinking water services,2003,75.9
445,Botswana,BWA,% of rural population using drinking water services,2003,53.9
446,Botswana,BWA,% of urban population using drinking water services,2003,94.0
447,Burkina Faso,BFA,% of total population using drinking water services,2003,57.1
448,Burkina Faso,BFA,% of rural population using drinking water services,2003,51.6
449,Burkina Faso,BFA,% of urban population using drinking water services,2003,79.2
