Country Name,Country Code,Indicator Name,Year,Percentage
Djibouti,DJI,% of rural population using drinking water services,2000,54.30347568
Djibouti,DJI,% of urban population using drinking water services,2000,81.93203582
"Egypt, Arab Rep.",EGY,% of total population using drinking water services,2000,97.88826659
"Egypt, Arab Rep.",EGY,% of rural population using drinking water services,2000,96.87617291
"Egypt, Arab Rep.",EGY,% of urban population using drinking water services,2000,99.24104354
Eswatini,SWZ,% of total population using drinking water services,2000,53.26228879
Eswatini,SWZ,% of rural population using drinking water services,2000,43.2769899
Eswatini,SWZ,% of urban population using drinking water services,2000,87.29223472
Ethiopia,ETH,% of total population using drinking water services,2000,18.08544545
Ethiopia,ETH,% of rural population using drinking water services,2000,8.206676297
Ethiopia,ETH,% of urban population using drinking water services,2000,75.22681566
Gabon,GAB,% of total population using drinking water services,2000,80.86852914
Gabon,GAB,% of rural population using drinking water services,2000,42.86586165
Gabon,GAB,% of urban population using drinking water services,2000,91.04429659
"Gambia, The",GMB,% of total population using drinking water services,2000,73.80407731
"Gambia, The",GMB,% of rural population using drinking water services,2000,65.22731388
"Gambia, The",GMB,% of urban population using drinking water services,2000,83.14484343
Ghana,GHA,% of total population using drinking water services,2000,63.84429954
Ghana,GHA,% of rural population using drinking water services,2000,53.15203081
Ghana,GHA,% of urban population using drinking water services,2000,77.49191724
Guinea,GIN,% of total population using drinking water services,2000,53.20749083
Guinea,GIN,% of rural population using drinking water services,2000,42.2182529
Guinea,GIN,% of urban population using drinking water services,2000,77.81783811
Guinea-Bissau,GNB,% of total population using drinking water services,2000,55.99375492
Guinea-Bissau,GNB,% of rural population using drinking water services,2000,43.37171293
Guinea-Bissau,GNB,% of urban population using drinking water services,2000,78.19785975
Kenya,KEN,% of total population using drinking water services,2000,47.26326085
Kenya,KEN,% of rural population using drinking water services,2000,37.42449155
Kenya,KEN,% of urban population using drinking water services,2000,86.88542105
Lesotho,LSO,% of total population using drinking water services,2000,66.22685524
Lesotho,LSO,% of rural population using drinking water services,2000,62.68849716
Lesotho,LSO,% of urban population using drinking water services,2000,80.78935718
Liberia,LBR,% of total population using drinking water services,2000,61.66387018
Liberia,LBR,% of rural population using drinking water services,2000,49.14072693
Liberia,LBR,% of urban population using drinking water services,2000,77.38990649
Libya,LBY,% of total population using drinking water services,2000,84.23207196
Madagascar,MDG,% of total population using drinking water services,2000,36.26696237
Madagascar,MDG,% of rural population using drinking water services,2000,23.65224151
Madagascar,MDG,% of urban population using drinking water services,2000,70.16497726
Malawi,MWI,% of total population using drinking water services,2000,53.80200699
Malawi,MWI,% of rural population using drinking water services,2000,48.3778048
Malawi,MWI,% of urban population using drinking water services,2000,85.50443085
Mali,MLI,% of total population using drinking water services,2000,49.45802869
Mali,MLI,% of rural population using drinking water services,2000,38.99074233
Mali,MLI,% of urban population using drinking water services,2000,75.90457809
Mauritania,MRT,% of total population using drinking water services,2000,40.99552767
Mauritania,MRT,% of rural population using drinking water services,2000,25.01968679
Mauritania,MRT,% of urban population using drinking water services,2000,66.9609349
Mauritius,MUS,% of total population using drinking water services,2000,99.27977595
Mauritius,MUS,% of rural population using drinking water services,2000,98.92841087
Mauritius,MUS,% of urban population using drinking water services,2000,99.75185845
Morocco,MAR,% of total population using drinking water services,2000,62.49829228
Morocco,MAR,% of rural population using drinking water services,2000,28.83825079
Morocco,MAR,% of urban population using drinking water services,2000,91.94885804
Mozambique,MOZ,% of total population using drinking water services,2000,21.09908528
Mozambique,MOZ,% of rural population using drinking water services,2000,5.327321198
Mozambique,MOZ,% of urban population using drinking water services,2000,59.52954588
Namibia,NAM,% of total population using drinking water services,2000,76.36580065
Namibia,NAM,% of rural population using drinking water services,2000,66.00773795
Namibia,NAM,% of urban population using drinking water services,2000,98.00373226
Niger,NER,% of total population using drinking water services,2000,36.84661631
Niger,NER,% of rural population using drinking water services,2000,26.07849423
Niger,NER,% of urban population using drinking water services,2000,92.60586679
Nigeria,NGA,% of total population using drinking water services,2000,43.15003763
Nigeria,NGA,% of rural population using drinking water services,2000,30.43294612
Nigeria,NGA,% of urban population using drinking water services,2000,66.93435565
Rwanda,RWA,% of total population using drinking water services,2000,45.14899674
Rwanda,RWA,% of rural population using drinking water services,2000,40.62305325
Rwanda,RWA,% of urban population using drinking water services,2000,70.94559736
Sao Tome and Principe,STP,% of total population using drinking water services,2000,68.07961894
Sao Tome and Principe,STP,% of rural population using drinking water services,2000,61.11293615
Sao Tome and Principe,STP,% of urban population using drinking water services,2000,74.15329697
Senegal,SEN,% of total population using drinking water services,2000,59.62500399
Senegal,SEN,% of rural population using drinking water services,2000,40.24114606
Senegal,SEN,% of urban population using drinking water services,2000,88.3161906
Sierra Leone,SLE,% of total population using drinking water services,2000,40.57012784
Sierra Leone,SLE,% of rural population using drinking water services,2000,25.75872859
Sierra Leone,SLE,% of urban population using drinking water services,2000,67.33341955
Somalia,SOM,% of total population using drinking water services,2000,23.66108119
Somalia,SOM,% of rural population using drinking water services,2000,5.685181942
Somalia,SOM,% of urban population using drinking water services,2000,59.75291733
South Africa,ZAF,% of total population using drinking water services,2000,84.48006083
South Africa,ZAF,% of rural population using drinking water services,2000,66.14651058
South Africa,ZAF,% of urban population using drinking water services,2000,98.37225929
Sudan,SDN,% of total population using drinking water services,2000,43.42977602
Sudan,SDN,% of rural population using drinking water services,2000,35.29995494
Sudan,SDN,% of urban population using drinking water services,2000,60.31863813
Tanzania,TZA,% of total population using drinking water services,2000,27.67446487
Tanzania,TZA,% of rural population using drinking water services,2000,16.89005841
Tanzania,TZA,% of urban population using drinking water services,2000,65.23111392
Togo,TGO,% of total population using drinking water services,2000,45.30163026
Togo,TGO,% of rural population using drinking water services,2000,28.81900994
Togo,TGO,% of urban population using drinking water services,2000,78.90749934
Tunisia,TUN,% of total population using drinking water services,2000,88.54523455
Tunisia,TUN,% of rural population using drinking water services,2000,71.71147157
Tunisia,TUN,% of urban population using drinking water services,2000,98.24975234
Uganda,UGA,% of total population using drinking water services,2000,26.50316936
Uganda,UGA,% of rural population using drinking water services,2000,18.97048597
Uganda,UGA,% of urban population using drinking water services,2000,69.91518063
Zambia,ZMB,% of total population using drinking water services,2000,48.21022423
Zambia,ZMB,% of rural population using drinking water services,2000,29.41125303
Zambia,ZMB,% of urban population using drinking water services,2000,83.42818398
Zimbabwe,ZWE,% of total population using drinking water services,2000,71.86938743
Zimbabwe,ZWE,% of rural population using drinking water services,2000,59.8524971
Zimbabwe,ZWE,% of urban population using drinking water services,2000,95.44966158
Algeria,DZA,% of total population using drinking water services,2001,90.11344378
Algeria,DZA,% of rural population using drinking water services,2001,83.73746924
Algeria,DZA,% of urban population using drinking water services,2001,94.23947038
Angola,AGO,% of total population using drinking water services,2001,42.25467641
Angola,AGO,% of rural population using drinking water services,2001,21.52821595
Angola,AGO,% of urban population using drinking water services,2001,61.95115679
Benin,BEN,% of total population using drinking water services,2001,62.385879
Benin,BEN,% of rural population using drinking water services,2001,53.02463462
Benin,BEN,% of urban population using drinking water services,2001,77.24519025
Botswana,BWA,% of total population using drinking water services,2001,75.54351833
Botswana,BWA,% of rural population using drinking water services,2001,53.68023789
Botswana,BWA,% of urban population using drinking water services,2001,94.12135858
Burkina Faso,BFA,% of total population using drinking water services,2001,58.24366756
Burkina Faso,BFA,% of rural population using drinking water services,2001,53.50544578
Burkina Faso,BFA,% of urban population using drinking water services,2001,79.06219358
Burundi,BDI,% of total population using drinking water services,2001,51.23447644
Burundi,BDI,% of rural population using drinking water services,2001,48.34401929
Burundi,BDI,% of urban population using drinking water services,2001,82.5061397
Cabo Verde,CPV,% of total population using drinking water services,2001,79.28418727
Cabo Verde,CPV,% of rural population using drinking water services,2001,70.2428224
Cabo Verde,CPV,% of urban population using drinking water services,2001,86.89634716
Cameroon,CMR,% of total population using drinking water services,2001,58.09230279
Cameroon,CMR,% of rural population using drinking water services,2001,37.18409285
Cameroon,CMR,% of urban population using drinking water services,2001,82.49979343
Central African Republic,CAF,% of total population using drinking water services,2001,57.82857463
Central African Republic,CAF,% of rural population using drinking water services,2001,43.52351837
Central African Republic,CAF,% of urban population using drinking water services,2001,81.44785001
Chad,TCD,% of total population using drinking water services,2001,39.8520354
Chad,TCD,% of rural population using drinking water services,2001,30.09900083
Chad,TCD,% of urban population using drinking water services,2001,75.10608188
"Congo, Dem. Rep.",COD,% of total population using drinking water services,2001,34.28904305
"Congo, Dem. Rep.",COD,% of rural population using drinking water services,2001,16.61153894
"Congo, Dem. Rep.",COD,% of urban population using drinking water services,2001,66.28558626
"Congo, Rep.",COG,% of total population using drinking water services,2001,57.46332748
"Congo, Rep.",COG,% of rural population using drinking water services,2001,18.01043776
"Congo, Rep.",COG,% of urban population using drinking water services,2001,84.70340156
Cote d'Ivoire,CIV,% of total population using drinking water services,2001,71.38709009
Cote d'Ivoire,CIV,% of rural population using drinking water services,2001,56.18042558
Cote d'Ivoire,CIV,% of urban population using drinking water services,2001,91.08371778
Djibouti,DJI,% of total population using drinking water services,2001,75.46308927
Djibouti,DJI,% of rural population using drinking water services,2001,53.93385764
Djibouti,DJI,% of urban population using drinking water services,2001,82.04798209
"Egypt, Arab Rep.",EGY,% of total population using drinking water services,2001,97.97025777
"Egypt, Arab Rep.",EGY,% of rural population using drinking water services,2001,97.00406398
"Egypt, Arab Rep.",EGY,% of urban population using drinking water services,2001,99.25925407
Eswatini,SWZ,% of total population using drinking water services,2001,54.13193704
Eswatini,SWZ,% of rural population using drinking water services,2001,44.32738935
Eswatini,SWZ,% of urban population using drinking water services,2001,87.79689512
Ethiopia,ETH,% of total population using drinking water services,2001,19.71258531
Ethiopia,ETH,% of rural population using drinking water services,2001,9.893481245
Ethiopia,ETH,% of urban population using drinking water services,2001,75.67430533
Gabon,GAB,% of total population using drinking water services,2001,81.14049899
Gabon,GAB,% of rural population using drinking water services,2001,42.91656209
Gabon,GAB,% of urban population using drinking water services,2001,90.9166827
"Gambia, The",GMB,% of total population using drinking water services,2001,74.1917965
"Gambia, The",GMB,% of rural population using drinking water services,2001,65.43973117
"Gambia, The",GMB,% of urban population using drinking water services,2001,83.38348462
Ghana,GHA,% of total population using drinking water services,2001,64.71780693
Ghana,GHA,% of rural population using drinking water services,2001,54.08966687
Ghana,GHA,% of urban population using drinking water services,2001,77.91904336
Guinea,GIN,% of total population using drinking water services,2001,54.17525354
Guinea,GIN,% of rural population using drinking water services,2001,43.21907994
Guinea,GIN,% of urban population using drinking water services,2001,78.39816306
Guinea-Bissau,GNB,% of total population using drinking water services,2001,56.26765613
Guinea-Bissau,GNB,% of rural population using drinking water services,2001,43.746877
Guinea-Bissau,GNB,% of urban population using drinking water services,2001,77.93610551
Kenya,KEN,% of total population using drinking water services,2001,48.02469834
Kenya,KEN,% of rural population using drinking water services,2001,38.16279981
Kenya,KEN,% of urban population using drinking water services,2001,86.89000507
Lesotho,LSO,% of total population using drinking water services,2001,66.48094874
Lesotho,LSO,% of rural population using drinking water services,2001,62.73937487
Lesotho,LSO,% of urban population using drinking water services,2001,81.38478613
Liberia,LBR,% of total population using drinking water services,2001,62.60565158
Liberia,LBR,% of rural population using drinking water services,2001,50.17522308
Liberia,LBR,% of urban population using drinking water services,2001,78.00059716
Libya,LBY,% of total population using drinking water services,2001,85.10204151
Madagascar,MDG,% of total population using drinking water services,2001,36.98295541
Madagascar,MDG,% of rural population using drinking water services,2001,24.27138166
Madagascar,MDG,% of urban population using drinking water services,2001,70.67923598
Malawi,MWI,% of total population using drinking water services,2001,54.66372874
Malawi,MWI,% of rural population using drinking water services,2001,49.34070165
Malawi,MWI,% of urban population using drinking water services,2001,85.55669383
Mali,MLI,% of total population using drinking water services,2001,51.02629823
Mali,MLI,% of rural population using drinking water services,2001,40.41861485
Mali,MLI,% of urban population using drinking water services,2001,76.9024748
Mauritania,MRT,% of total population using drinking water services,2001,42.01620818
Mauritania,MRT,% of rural population using drinking water services,2001,26.15722201
Mauritania,MRT,% of urban population using drinking water services,2001,67.22565746
Mauritius,MUS,% of total population using drinking water services,2001,99.32417949
Mauritius,MUS,% of rural population using drinking water services,2001,98.9975856
Mauritius,MUS,% of urban population using drinking water services,2001,99.76497051
Morocco,MAR,% of total population using drinking water services,2001,63.73406864
Morocco,MAR,% of rural population using drinking water services,2001,30.82737759
Morocco,MAR,% of urban population using drinking water services,2001,92.14952352
Mozambique,MOZ,% of total population using drinking water services,2001,22.31977995
Mozambique,MOZ,% of rural population using drinking water services,2001,6.916158192
Mozambique,MOZ,% of urban population using drinking water services,2001,59.52954588
Namibia,NAM,% of total population using drinking water services,2001,76.68748132
Namibia,NAM,% of rural population using drinking water services,2001,66.28437116
Namibia,NAM,% of urban population using drinking water services,2001,97.90668995
Niger,NER,% of total population using drinking water services,2001,37.69444798
Niger,NER,% of rural population using drinking water services,2001,27.09826779
Niger,NER,% of urban population using drinking water services,2001,92.26542755
Nigeria,NGA,% of total population using drinking water services,2001,44.55582414
Nigeria,NGA,% of rural population using drinking water services,2001,31.81603636
Nigeria,NGA,% of urban population using drinking water services,2001,67.53273512
Rwanda,RWA,% of total population using drinking water services,2001,46.15284299
Rwanda,RWA,% of rural population using drinking water services,2001,41.3752158
Rwanda,RWA,% of urban population using drinking water services,2001,71.55795954
Sao Tome and Principe,STP,% of total population using drinking water services,2001,68.74833526
Sao Tome and Principe,STP,% of rural population using drinking water services,2001,61.84300558
Sao Tome and Principe,STP,% of urban population using drinking water services,2001,74.54199562
Senegal,SEN,% of total population using drinking water services,2001,60.79243523
Senegal,SEN,% of rural population using drinking water services,2001,41.85157729
Senegal,SEN,% of urban population using drinking water services,2001,88.6607343
Sierra Leone,SLE,% of total population using drinking water services,2001,40.896673
Sierra Leone,SLE,% of rural population using drinking water services,2001,25.79384646
Sierra Leone,SLE,% of urban population using drinking water services,2001,67.90170825
Somalia,SOM,% of total population using drinking water services,2001,25.22862232
Somalia,SOM,% of rural population using drinking water services,2001,7.254715986
Somalia,SOM,% of urban population using drinking water services,2001,60.72143675
South Africa,ZAF,% of total population using drinking water services,2001,85.01809268
South Africa,ZAF,% of rural population using drinking water services,2001,67.00565911
South Africa,ZAF,% of urban population using drinking water services,2001,98.40370957
Sudan,SDN,% of total population using drinking water services,2001,43.44303762
Sudan,SDN,% of rural population using drinking water services,2001,35.29995494
Sudan,SDN,% of urban population using drinking water services,2001,60.31863813
Tanzania,TZA,% of total population using drinking water services,2001,29.05908997
Tanzania,TZA,% of rural population using drinking water services,2001,18.16608011
Tanzania,TZA,% of urban population using drinking water services,2001,66.20793323
Togo,TGO,% of total population using drinking water services,2001,46.55443615
Togo,TGO,% of rural population using drinking water services,2001,30.05412511
Togo,TGO,% of urban population using drinking water services,2001,79.52142543
Tunisia,TUN,% of total population using drinking water services,2001,88.97157008
Tunisia,TUN,% of rural population using drinking water services,2001,72.4300939
Tunisia,TUN,% of urban population using drinking water services,2001,98.3498595
Uganda,UGA,% of total population using drinking water services,2001,27.76429699
Uganda,UGA,% of rural population using drinking water services,2001,20.12977181
Uganda,UGA,% of urban population using drinking water services,2001,70.35360445
Zambia,ZMB,% of total population using drinking water services,2001,49.00284708
Zambia,ZMB,% of rural population using drinking water services,2001,30.37575535
Zambia,ZMB,% of urban population using drinking water services,2001,83.59297612
Zimbabwe,ZWE,% of total population using drinking water services,2001,72.01604918
Zimbabwe,ZWE,% of rural population using drinking water services,2001,59.8524971
Zimbabwe,ZWE,% of urban population using drinking water services,2001,95.44966158
Algeria,DZA,% of total population using drinking water services,2002,90.37379792
Algeria,DZA,% of rural population using drinking water services,2002,84.06433674
Algeria,DZA,% of urban population using drinking water services,2002,94.32346052
Angola,AGO,% of total population using drinking water services,2002,43.37679859
Angola,AGO,% of rural population using drinking water services,2002,21.90310643
Angola,AGO,% of urban population using drinking water services,2002,62.83578671
Benin,BEN,% of total population using drinking water services,2002,62.56639848
Benin,BEN,% of rural population using drinking water services,2002,53.30342728
Benin,BEN,% of urban population using drinking water services,2002,77.03273634
Botswana,BWA,% of total population using drinking water services,2002,75.75011146
Botswana,BWA,% of rural population using drinking water services,2002,53.78155792
Botswana,BWA,% of urban population using drinking water services,2002,94.03912318
Burkina Faso,BFA,% of total population using drinking water services,2002,57.69363299
Burkina Faso,BFA,% of rural population using drinking water services,2002,52.5827928
Burkina Faso,BFA,% of urban population using drinking water services,2002,79.12157762
Burundi,BDI,% of total population using drinking water services,2002,51.80933223
Burundi,BDI,% of rural population using drinking water services,2002,48.84735461
Burundi,BDI,% of urban population using drinking water services,2002,82.96368176
Cabo Verde,CPV,% of total population using drinking water services,2002,79.48554471
Cabo Verde,CPV,% of rural population using drinking water services,2002,70.37429107
Cabo Verde,CPV,% of urban population using drinking water services,2002,86.89634716
Cameroon,CMR,% of total population using drinking water services,2002,58.55918783
Cameroon,CMR,% of rural population using drinking water services,2002,37.55587048
Cameroon,CMR,% of urban population using drinking water services,2002,82.49429201
Central African Republic,CAF,% of total population using drinking water services,2002,56.65333488
Central African Republic,CAF,% of rural population using drinking water services,2002,42.64208859
Central African Republic,CAF,% of urban population using drinking water services,2002,79.70691681
Chad,TCD,% of total population using drinking water services,2002,40.17618371
Chad,TCD,% of rural population using drinking water services,2002,30.48505702
Chad,TCD,% of urban population using drinking water services,2002,75.14051136
"Congo, Dem. Rep.",COD,% of total population using drinking water services,2002,34.86508705
"Congo, Dem. Rep.",COD,% of rural population using drinking water services,2002,16.90791885
"Congo, Dem. Rep.",COD,% of urban population using drinking water services,2002,66.71285305
"Congo, Rep.",COG,% of total population using drinking water services,2002,57.9533587
"Congo, Rep.",COG,% of rural population using drinking water services,2002,18.24271364
"Congo, Rep.",COG,% of urban population using drinking water services,2002,84.85231238
Cote d'Ivoire,CIV,% of total population using drinking water services,2002,71.37765468
Cote d'Ivoire,CIV,% of rural population using drinking water services,2002,56.15637393
Cote d'Ivoire,CIV,% of urban population using drinking water services,2002,90.76356873
Djibouti,DJI,% of total population using drinking water services,2002,75.47846668
Djibouti,DJI,% of rural population using drinking water services,2002,53.5642396
Djibouti,DJI,% of urban population using drinking water services,2002,82.16392835
"Egypt, Arab Rep.",EGY,% of total population using drinking water services,2002,98.05218056
"Egypt, Arab Rep.",EGY,% of rural population using drinking water services,2002,97.13202494
"Egypt, Arab Rep.",EGY,% of urban population using drinking water services,2002,99.2774662
Eswatini,SWZ,% of total population using drinking water services,2002,54.99691096
Eswatini,SWZ,% of rural population using drinking water services,2002,45.36914121
Eswatini,SWZ,% of urban population using drinking water services,2002,88.30234084
Ethiopia,ETH,% of total population using drinking water services,2002,21.32915594
Ethiopia,ETH,% of rural population using drinking water services,2002,11.57021969
Ethiopia,ETH,% of urban population using drinking water services,2002,76.12198563
Gabon,GAB,% of total population using drinking water services,2002,81.39898485
Gabon,GAB,% of rural population using drinking water services,2002,42.96149771
Gabon,GAB,% of urban population using drinking water services,2002,90.78835263
"Gambia, The",GMB,% of total population using drinking water services,2002,74.57954034
"Gambia, The",GMB,% of rural population using drinking water services,2002,65.65063722
"Gambia, The",GMB,% of urban population using drinking water services,2002,83.62238497
Ghana,GHA,% of total population using drinking water services,2002,65.8036643
Ghana,GHA,% of rural population using drinking water services,2002,55.02681952
Ghana,GHA,% of urban population using drinking water services,2002,78.82990096
Guinea,GIN,% of total population using drinking water services,2002,55.14105381
Guinea,GIN,% of rural population using drinking water services,2002,44.21990699
Guinea,GIN,% of urban population using drinking water services,2002,78.97848801
Guinea-Bissau,GNB,% of total population using drinking water services,2002,56.52970683
Guinea-Bissau,GNB,% of rural population using drinking water services,2002,44.11655113
Guinea-Bissau,GNB,% of urban population using drinking water services,2002,77.66199113
Kenya,KEN,% of total population using drinking water services,2002,48.78172638
Kenya,KEN,% of rural population using drinking water services,2002,38.8989466
Kenya,KEN,% of urban population using drinking water services,2002,86.89457924
Lesotho,LSO,% of total population using drinking water services,2002,66.74292745
Lesotho,LSO,% of rural population using drinking water services,2002,62.78995944
Lesotho,LSO,% of urban population using drinking water services,2002,81.98191493
Liberia,LBR,% of total population using drinking water services,2002,63.54508319
Liberia,LBR,% of rural population using drinking water services,2002,51.20971923
Liberia,LBR,% of urban population using drinking water services,2002,78.61128782
Libya,LBY,% of total population using drinking water services,2002,85.97201105
Madagascar,MDG,% of total population using drinking water services,2002,37.70075782
Madagascar,MDG,% of rural population using drinking water services,2002,24.89247642
Madagascar,MDG,% of urban population using drinking water services,2002,71.19359921
Malawi,MWI,% of total population using drinking water services,2002,55.51906224
Malawi,MWI,% of rural population using drinking water services,2002,50.29806851
Malawi,MWI,% of urban population using drinking water services,2002,85.60845686
Mali,MLI,% of total population using drinking water services,2002,52.69714793
Mali,MLI,% of rural population using drinking water services,2002,41.99427868
Mali,MLI,% of urban population using drinking water services,2002,77.90272138
Mauritania,MRT,% of total population using drinking water services,2002,43.70799915
Mauritania,MRT,% of rural population using drinking water services,2002,27.50833712
Mauritania,MRT,% of urban population using drinking water services,2002,68.5409135
Mauritius,MUS,% of total population using drinking water services,2002,99.36869528
Mauritius,MUS,% of rural population using drinking water services,2002,99.06676033
Mauritius,MUS,% of urban population using drinking water services,2002,99.77808257
Morocco,MAR,% of total population using drinking water services,2002,65.11268975
Morocco,MAR,% of rural population using drinking water services,2002,33.03612116
Morocco,MAR,% of urban population using drinking water services,2002,92.44817646
Mozambique,MOZ,% of total population using drinking water services,2002,24.05191982
Mozambique,MOZ,% of rural population using drinking water services,2002,8.646902014
Mozambique,MOZ,% of urban population using drinking water services,2002,60.94353163
Namibia,NAM,% of total population using drinking water services,2002,77.11230729
Namibia,NAM,% of rural population using drinking water services,2002,66.56085004
Namibia,NAM,% of urban population using drinking water services,2002,97.80961086
Niger,NER,% of total population using drinking water services,2002,38.45761285
Niger,NER,% of rural population using drinking water services,2002,28.07951606
Niger,NER,% of urban population using drinking water services,2002,91.9250765
Nigeria,NGA,% of total population using drinking water services,2002,46.2434
Nigeria,NGA,% of rural population using drinking water services,2002,33.30630517
Nigeria,NGA,% of urban population using drinking water services,2002,68.74263707
Rwanda,RWA,% of total population using drinking water services,2002,47.17165599
Rwanda,RWA,% of rural population using drinking water services,2002,42.13163758
Rwanda,RWA,% of urban population using drinking water services,2002,72.17287798
Sao Tome and Principe,STP,% of total population using drinking water services,2002,69.43304966
Sao Tome and Principe,STP,% of rural population using drinking water services,2002,62.56563442
Sao Tome and Principe,STP,% of urban population using drinking water services,2002,74.92710632
Senegal,SEN,% of total population using drinking water services,2002,61.96474085
Senegal,SEN,% of rural population using drinking water services,2002,43.47670934
Senegal,SEN,% of urban population using drinking water services,2002,89.00588135
Sierra Leone,SLE,% of total population using drinking water services,2002,42.08865348
Sierra Leone,SLE,% of rural population using drinking water services,2002,27.17967715
Sierra Leone,SLE,% of urban population using drinking water services,2002,68.4684835
Somalia,SOM,% of total population using drinking water services,2002,26.79330327
Somalia,SOM,% of rural population using drinking water services,2002,8.824250029
Somalia,SOM,% of urban population using drinking water services,2002,61.68995617
South Africa,ZAF,% of total population using drinking water services,2002,85.56443069
South Africa,ZAF,% of rural population using drinking water services,2002,67.86480764
South Africa,ZAF,% of urban population using drinking water services,2002,98.43515984
Sudan,SDN,% of total population using drinking water services,2002,43.45629573
Sudan,SDN,% of rural population using drinking water services,2002,35.29995494
Sudan,SDN,% of urban population using drinking water services,2002,60.31863813
Tanzania,TZA,% of total population using drinking water services,2002,30.44391829
Tanzania,TZA,% of rural population using drinking water services,2002,19.4421018
Tanzania,TZA,% of urban population using drinking water services,2002,67.18475253
Togo,TGO,% of total population using drinking water services,2002,47.80300366
Togo,TGO,% of rural population using drinking water services,2002,31.28825405
Togo,TGO,% of urban population using drinking water services,2002,80.1354557
Tunisia,TUN,% of total population using drinking water services,2002,89.36719469
Tunisia,TUN,% of rural population using drinking water services,2002,73.14871623
Tunisia,TUN,% of urban population using drinking water services,2002,98.41035374
Uganda,UGA,% of total population using drinking water services,2002,29.05145026
Uganda,UGA,% of rural population using drinking water services,2002,21.32103127
Uganda,UGA,% of urban population using drinking water services,2002,70.79255035
Zambia,ZMB,% of total population using drinking water services,2002,49.93377945
Zambia,ZMB,% of rural population using drinking water services,2002,31.33776287
Zambia,ZMB,% of urban population using drinking water services,2002,83.75781999
Zimbabwe,ZWE,% of total population using drinking water services,2002,71.70607087
Zimbabwe,ZWE,% of rural population using drinking water services,2002,59.22371452
Zimbabwe,ZWE,% of urban population using drinking water services,2002,95.31553685
Algeria,DZA,% of total population using drinking water services,2003,90.62972314
Algeria,DZA,% of rural population using drinking water services,2003,84.39120424
Algeria,DZA,% of urban population using drinking water services,2003,94.40745067
Angola,AGO,% of total population using drinking water services,2003,44.3638732
Angola,AGO,% of rural population using drinking water services,2003,22.27731214
Angola,AGO,% of urban population using drinking water services,2003,63.44901485
Benin,BEN,% of total population using drinking water services,2003,62.76878216
Benin,BEN,% of rural population using drinking water services,2003,53.58064434
Benin,BEN,% of urban population using drinking water services,2003,76.82057153
Botswana,BWA,% of total population using drinking water services,2003,75.93520413
Botswana,BWA,% of rural population using drinking water services,2003,53.88287796
Botswana,BWA,% of urban population using drinking water services,2003,93.95688778
Burkina Faso,BFA,% of total population using drinking water services,2003,57.14783689
Burkina Faso,BFA,% of rural population using drinking water services,2003,51.64109433
Burkina Faso,BFA,% of urban population using drinking water services,2003,79.18032674
